latitude;longitude;Название;Описание;Адрес
56.60817;60.803787;Уральские метёлки;производственная компания;Садовая, 1Б
56.611684;60.80505;Telepay;сеть платежных терминалов;Садовая, 29а
56.612161;59.873061;Дом культуры;с. Мариинск;Мичурина, 3
56.612161;59.873061;Библиотека;с. Мариинск;Мичурина, 3
56.612418;60.806395;Дом культуры;пос. Первомайский;Садовая, 32
56.612418;60.806395;Сельская библиотека;пос. Первомайский;Садовая, 32
56.622103;60.206345;Библиотека;пос. Крылатовский;Кунгурская, 42
56.625584;60.378223;Библиотека №8;с. Курганово;Ленина, 70
56.627725;60.380831;Amigo;сеть платежных терминалов;Ленина, 51а, 1 этаж, магазин Пятёрочка
56.627725;60.380831;Магазин товаров для дома;;Ленина, 51а, 1 этаж
56.627725;60.380831;Мастерская климата;;Ленина, 51а
56.627725;60.380831;Магазин товаров для дома;;Ленина, 51а, 1 этаж
56.629881;60.389292;Telepay;сеть платежных терминалов;Школьная, 5
56.633317;60.856579;freshlandpost;сельскохозяйственная компания;Свердлова, 1а, 1 этаж
56.634681;60.829746;Здоровье;аптека;Свердлова, 34
56.634739;60.829761;Telepay;сеть платежных терминалов;Свердлова, 34, 1 этаж
56.63512;60.829556;Telepay;сеть платежных терминалов;Свердлова, 35
56.635602;60.586457;Qiwi;сеть платежных терминалов;Клубный переулок, 1, 1 этаж
56.635733;60.821855;Сбербанк;;Маяковского, 4а
56.635858;60.82096;Telepay;сеть платежных терминалов;Маяковского, 3, 1 этаж
56.635858;60.82096;Банкомат, Сбербанк, ПАО;;Маяковского, 3
56.635924;60.825946;Telepay;сеть платежных терминалов;Свердлова, 45/1
56.635985;60.82105;Чайная;;Маяковского, 3/1
56.636092;60.826118;Виола;аптека;Свердлова, 45/1
56.636228;60.586162;Зеленая Аптека;сеть аптек;Ленина, 16, 1 этаж
56.63625;60.825149;Октябрьский сельский дом культуры им. П.Г. Зуева;;ДК Октябрьский, Чапаева, 2а
56.636259;60.586678;Telepay;сеть платежных терминалов;Ленина, 14, 1 этаж
56.636259;60.586678;Магазин хозяйственных товаров;;Ленина, 14, 1 этаж
56.636317;60.822574;Банкомат, СКБ-банк, ПАО;;Свердлова, 45а
56.636325;60.822651;Фаворит;магазин одежды;Свердлова, 45а, 1 этаж
56.636372;60.586985;Qiwi;сеть платежных терминалов;Ленина, 14, 1 этаж
56.636388;60.576811;Qiwi;сеть платежных терминалов;Серова, 27, 1 этаж
56.636441;60.823315;Почтовое отделение;пос. Октябрьский;Чапаева, 1, 1 этаж
56.637172;60.583002;Почтовое отделение №904;пос. Шабровский;Ленина, 24, 1 этаж
56.637488;60.591714;Магазин стройматериалов;;Ленина, 1
56.637658;60.580908;Bt.shabri.ru;магазин;Ленина, 32, цокольный этаж
56.637658;60.580908;Парикмахерская;;Ленина, 32, цокольный этаж
56.637833;60.821076;Telepay;сеть платежных терминалов;Маяковского, 8
56.638977;60.819792;Сельская библиотека;пос. Октябрьский;Маяковского, 29а
56.643582;60.401159;Утопия;кафе;Победы, 37
56.644112;60.401253;Морозовские Дачи;строительный центр;Морозова, 20
56.644248;60.564031;Qiwi;сеть платежных терминалов;Совхозная, 15
56.644815;60.400978;Telepay;сеть платежных терминалов;Победы, 28, 1 этаж
56.645606;60.236844;Здрава Дача;SPA-комплекс;Свободы, 25а
56.645606;60.236844;Здрава Дача;SPA-комплекс;Свободы, 25а
56.648325;60.7058;Колобок;магазин хозтоваров;Колобова, 21а, 2 этаж
56.648325;60.7058;Telepay;сеть платежных терминалов;Колобова, 21а, 1 этаж
56.651524;60.240658;Библиотека;с. Кунгурка;Рабоче-Крестьянская, 55
56.655411;60.70326;Дом культуры;д. Большое Седельниково;Ленина, 25
56.655411;60.70326;Сельская библиотека;д. Большое Седельниково;Ленина, 25
56.655632;60.704063;Telepay;сеть платежных терминалов;Ленина, 30а, 1 этаж
56.655846;60.703336;Telepay;сеть платежных терминалов;Ленина, 32
56.655943;60.84309;Серебряный родник;база отдыха;Берёзки снт, 38/1
56.655946;60.702625;Магазин хозтоваров;ИП Гуляев А.Л.;Свердлова, 30а
56.656051;60.702692;Telepay;сеть платежных терминалов;Свердлова, 30а
56.657025;60.708148;Telepay;сеть платежных терминалов;1 Мая, 15в
56.657025;60.708148;Iris;салон-парикмахерская;1 Мая, 15в, 2 этаж
56.661222;60.705808;MasterDen;торгово-сервисный центр;Голубая, 5
56.662981;60.813122;Telepay;сеть платежных терминалов;Октябрьская, 35
56.667781;60.473404;Qiwi;сеть платежных терминалов;Центральная, 10
56.668367;60.812251;Telepay;сеть платежных терминалов;Советская, 10
56.668628;60.811666;Сельская библиотека;с. Бородулино;Советская, 11
56.670714;60.819019;Домик в деревне;банный комплекс;1 Мая, 6
56.675437;60.83692;Элекснет;сеть платежных терминалов;Парковая, 20/1
56.675731;60.807869;Медицинские технологии;научно-клинический центр;Колхозная, 23а
56.675772;60.80777;Макросфера;;Колхозная, 23а, цокольный этаж
56.67641;60.802781;Красотка;парикмахерская;Российская, 8
56.67659;60.806478;Советская;пельменная;Колхозная, 18, 2 этаж
56.676599;60.808372;Патрушевский;дом культуры;Центр досуга Патрушевский, Колхозная, 23
56.676599;60.808372;Библиотека;с. Патруши;Центр досуга Патрушевский, Колхозная, 23, 2 этаж
56.676702;60.806641;Хороший;магазин;Колхозная, 18, 1 этаж
56.677158;60.806095;Почтовое отделение;с. Патруши;Колхозная, 18, 1 этаж
56.677158;60.806095;Сбербанк;;Колхозная, 18, 1 этаж
56.677164;60.806472;Telepay;сеть платежных терминалов;Колхозная, 18
56.677164;60.806472;ЭЙВА;аптечная сеть;Колхозная, 18, 1 этаж
56.677234;60.806331;Банкомат, Сбербанк, ПАО;;Колхозная, 18, 1 этаж
56.677424;60.804348;Telepay;сеть платежных терминалов;Центральная, 3
56.677718;60.803994;Общественная баня в Патрушах;;Центральная, 2а
56.677735;60.580441;Наш Магазин;магазин одежды;Мира, 10
56.678982;60.805656;Магазин;ИП Елисеева Л.А.;Колхозная, 14Б
56.678982;60.805656;Telepay;сеть платежных терминалов;Колхозная, 14Б
56.680716;60.847794;Каприз;кафе;Новая, 38
56.681063;60.582756;Telepay;сеть платежных терминалов;Кузнецова, 1а, 1 этаж
56.681095;60.582547;Qiwi;сеть платежных терминалов;Кузнецова, 1Б, 1 этаж, кафе-закусочная У Ефимыча
56.681095;60.582547;У Ефимыча;кафе-закусочная;Кузнецова, 1Б
56.681143;60.137638;Telepay;сеть платежных терминалов;Советская, 170а
56.681579;60.105211;ГРОС;завод;Лесозаводская, 12к
56.681587;60.582315;Магазин фастфудной продукции;;Кузнецова, 2ж
56.681671;60.807978;Банкомат, СКБ-банк, ПАО;;Колхозная, 1а
56.681706;60.13613;Горыныч;драйв-клуб;Полевская, 2
56.681706;60.13613;Горыныч;драйв-клуб;Полевская, 2
56.681735;60.582737;Telepay;сеть платежных терминалов;Кузнецова, 2г лит Е
56.681754;60.807975;Квартал строй;магазин промышленных товаров;Колхозная, 1а, 1, 2 этаж
56.681886;60.860095;Банкомат, Уральский банк реконструкции и развития, ПАО;;Октябрьская, 171/1а
56.681957;60.578515;МЕГАФУД;Столовая;Станционная, 1а/1
56.682051;60.848561;Telepay;сеть платежных терминалов;Горбачёва, 17
56.682398;60.846132;Платежный терминал;;Новая, 9
56.682705;60.471933;В Гостях у Якута;гостевой дом;Аэродром днп, 1542
56.682906;60.839619;Пита Хаус;кафе быстрого питания;Новая, 2а/3 киоск
56.682983;60.840136;Telepay;сеть платежных терминалов;Рынок ФермерПарк, Новая, 2в
56.682983;60.840136;Банкомат, СКБ-банк, ПАО;;Рынок ФермерПарк, Новая, 2в
56.683256;60.838698;ПанКот;кафе;ТЦ Шишкин парк, Новая, 2а
56.683334;60.790814;Лагуна;кафе;Советская, 155, 1, 2 этаж
56.683395;60.838183;Магнит-Косметик;сеть магазинов косметики и бытовой химии;ТЦ Шишкин парк, Новая, 2а
56.683395;60.838183;Билайн;сеть офисов продаж;ТЦ Шишкин парк, 1 Мая, 85, 1 этаж
56.683395;60.838183;Qiwi;сеть платежных терминалов;ТЦ Шишкин парк, Новая, 2а, 1 этаж, супермаркет Верный
56.683395;60.838183;Telepay;сеть платежных терминалов;ТЦ Шишкин парк, Новая, 2а
56.683395;60.838183;Шишкин парк;торговый центр;ТЦ Шишкин парк, Новая, 2а
56.683395;60.838183;Авторизованный сервисный центр;;ТЦ Шишкин парк, Новая, 2а
56.683395;60.838183;Магнит-Косметик;сеть магазинов косметики и бытовой химии;ТЦ Шишкин парк, Новая, 2а
56.683395;60.838183;ТАБЛЕТКА+;аптечная сеть;ТЦ Шишкин парк, Новая, 2а, 1 этаж
56.683514;60.799864;Сварог;столовая;Пионерская, 41, 1 этаж
56.683514;60.799864;Сварог;столовая;Пионерская, 41, 1 этаж
56.683579;60.855748;Telepay;сеть платежных терминалов;Белинского, 13
56.684015;60.838416;Адреналин;спортивный клуб;Новая, 3Б, цокольный этаж
56.684015;60.838416;Адреналин;спортивный клуб;Новая, 3Б, цокольный этаж
56.684263;60.857648;Мыльная Гора;производственная компания;Октябрьская, 171
56.684411;60.840695;Семья;магазин одежды для всей семьи;Ленина, 2д, 1 этаж
56.684416;60.499805;Арлекино;Екатеринбургский детский цирк;Аэродром днп, 1887
56.684416;60.499805;Арлекино;Екатеринбургский детский цирк;Аэродром днп, 1887
56.684588;60.840706;Арамильская аптека;сеть аптек;Ленина, 2д, 1 этаж
56.684648;60.837981;Frozen;соляная комната;Новая, 3Б, цокольный этаж
56.684679;60.842185;Радуга;аптечная сеть;Ленина, 2в, 1 этаж
56.684681;60.841611;Арамильская центральная городская библиотека;;Ленина, 2г
56.684693;60.842395;Поликлиника;Арамильская городская больница;Ленина, 2в, 1 этаж
56.684845;60.840045;Comepay;сеть платежных терминалов;Ленина, 2е, 1 этаж
56.684849;60.841714;Лавочка Мадмуазель Аннет;магазин товаров для творчества и рукоделия;Ленина, 1ж
56.684875;60.844641;Почтовое отделение №3;г. Арамиль;Ленина, 2а
56.684875;60.844641;Почтовое отделение;пос. Большой Исток;Ленина, 2а
56.684894;60.840742;Эдан;салон красоты;Ленина, 2д/1, 1 этаж
56.684896;60.844879;Telepay;сеть платежных терминалов;Курчатова, 14а
56.684896;60.844879;Магазин игрушек;;Курчатова, 14а
56.684981;60.838077;ТЕХНОДРОМ;торгово-сервисная компания;Новая, 3Б, 1 этаж
56.685013;60.789995;Telepay;сеть платежных терминалов;Революции, 93
56.685067;60.507898;Stephanie;компания;Первомайская, 16
56.68522;60.840205;Магазин фастфудной продукции;;Ленина, 1в/1
56.685706;60.855221;Garage Smoking;центр паровых коктейлей;Октябрьская, 153, 1 этаж
56.685729;60.855059;Нагано;служба доставки;Октябрьская, 153, 1 этаж
56.685816;60.504434;Сеть магазинов одежды;ИП Анашкин Ю.В.;Будённого, 8, 2 этаж, магазин Пятёрочка
56.685816;60.504434;Магазин-мастерская по ремонту одежды и пошиву штор;ИП Суздалева И.В.;Будённого, 8, 2 этаж
56.685816;60.504434;Master GSM+;салон бытовых услуг;Будённого, 8, 2 этаж
56.685863;60.854856;Qiwi;сеть платежных терминалов;Октябрьская, 153, 1 этаж, магазин Beer на розlive
56.685951;60.552873;Банька на Красной поляне;банный оздоровительный комплекс;Полевской тракт 19 км, 2/1
56.686372;60.837354;Telepay;сеть платежных терминалов;1 Мая, 81а
56.686823;60.503602;Сантеххит;магазин сантехнического оборудования;Будённого, 1и
56.686949;60.51796;Селянка;кулинария;Ленина, 10г
56.687232;60.840614;М+В;магазин женской одежды;Текстильщиков, 12
56.68738;60.518078;Селянка;промышленный магазин;Ленина, 10, 2 этаж
56.68738;60.518078;Банкомат, Уральский банк реконструкции и развития, ПАО;;Ленина, 10
56.687403;60.518823;Униторг;магазин промышленных товаров;Ленина, 10а, 1 этаж
56.687403;60.518823;Униторг;магазин хозяйственных товаров;Ленина, 10а, 1 этаж
56.687403;60.518823;Комбинат бытового обслуживания;;Ленина, 10а, 2 этаж
56.687403;60.518823;Комбинат бытового обслуживания;;Ленина, 10а, 2 этаж
56.687651;60.840631;Telepay;сеть платежных терминалов;Текстильщиков, 3а
56.687656;60.840278;Малина;салон красоты;Текстильщиков, 3а, 1 этаж
56.687657;60.840197;Мастерская по изготовлению ключей;;Текстильщиков, 3а, 1 этаж
56.687683;60.838203;Магазин по продаже зоотоваров и товаров для рыбалки;;Текстильщиков, 1, 1 этаж
56.687693;60.837541;Арком-Сервис;;1 Мая, 75, 1 офис, 1 этаж
56.687696;60.840588;VICTORIYA;салон красоты;Текстильщиков, 3а
56.687872;60.849962;Трио;салон красоты;Ленина, 15, 2 этаж
56.6879;60.850022;Ромашки;кафе;Ленина, 15, 1 этаж
56.687911;60.851329;ЭЙВА;аптечная сеть;Октябрьская, 131, 1 этаж
56.687925;60.865202;ОптКарт;компания;Свободы, 20
56.687999;60.850232;Магазин промышленных товаров;ИП Суетина Т.Ю.;Ленина, 15, 2 этаж
56.687999;60.850232;Telepay;сеть платежных терминалов;Ленина, 15, 1 этаж
56.688163;60.837464;Камелия;аптека;1 Мая, 75, 1 этаж
56.68822;60.837568;Лайм;студия маникюра и педикюра;1 Мая, 75
56.688262;60.851959;NailMaster;студия ногтевого сервиса;Ленина, 16а, 1 офис, 1 этаж
56.688268;60.838447;Платежный терминал, Сбербанк, ПАО;;1 Мая, 75а
56.688268;60.838447;Сбербанк;;1 Мая, 75а, 1 этаж
56.688268;60.838447;Банкомат, Сбербанк, ПАО;;1 Мая, 75а
56.688293;60.837472;Ассорти;магазин детских товаров и сувениров;1 Мая, 75, 1 этаж
56.688353;60.08738;Олимп;лыжная база;Головина, 22
56.688482;60.837506;Мастерская по ремонту обуви;;1 Мая, 75/1
56.688569;60.884261;Домашняя кухня;;Пушкина, 4Б, 1 этаж
56.688569;60.884261;Пушкин парк;;Пушкина, 4Б, 2 этаж
56.688569;60.884261;Домашняя кухня;;Пушкина, 4Б, 1 этаж
56.688678;60.517576;Laurel;салон-парикмахерская;ЦК Горный Щит, Ленина, 12а, 1 этаж
56.688678;60.517576;Горный Щит;центр культуры;ЦК Горный Щит, Ленина, 12а
56.688678;60.517576;ОФИЦИНА;аптека;ЦК Горный Щит, Ленина, 12а, 1 этаж
56.688794;60.837282;Авангард;салон-парикмахерская;1 Мая, 71
56.688869;60.798772;Telepay;сеть платежных терминалов;Советская, 96, 1 этаж, магазин Пятёрочка
56.688971;60.516857;Почтовое отделение №902;;Ленина, 12, 1 этаж
56.688971;60.516857;Почта Банк;;Ленина, 12, 1 этаж
56.689105;60.799182;Telepay;сеть платежных терминалов;Советская, 94
56.68912;60.09464;Оранжерея;банкетный зал;Лесозаводская, 2а
56.689141;60.8373;Арт Стиль;парикмахерская;1 Мая, 71, 1 этаж
56.689307;60.837247;Fashion Kids;магазин детской одежды;1 Мая, 71, 1 этаж
56.689578;60.529539;Товаров;производственно-торговая компания;Зелёная, 2ж
56.689852;60.835944;Элеганс;студия красоты;1 Мая, 60в
56.689875;60.836998;STIGMATATTOO;тату-салон;1 Мая, 69, цокольный этаж
56.689904;60.837771;Ажур;парикмахерская;1 Мая, 69а, 1 этаж
56.689985;60.836952;Магнит-Косметик;сеть магазинов косметики и бытовой химии;1 Мая, 69, 1 этаж
56.689985;60.836952;Магнит-Косметик;сеть магазинов косметики и бытовой химии;1 Мая, 69, 1 этаж
56.690036;60.83693;Каре;парикмахерская;1 Мая, 69, 2 этаж
56.690136;60.085123;Дегтярская городская больница;;Головина, 9а
56.690136;60.085123;Детская поликлиника;Дегтярская городская больница;Головина, 9а
56.690136;60.085123;Женская консультация;Дегтярская городская больница;Головина, 9а
56.690137;60.836923;Qiwi;сеть платежных терминалов;1 Мая, 69
56.690137;60.836923;Мистер Ландри;сеть салонов бытовых услуг;1 Мая, 69
56.690137;60.836923;Мастерская по ремонту одежды;;1 Мая, 69, 1 этаж
56.690147;60.858716;Comepay;сеть платежных терминалов;Ленина, 40, 1 этаж
56.690192;60.838078;Фамилия;клиника;1 Мая, 69а, 1 этаж
56.690256;60.836924;А2;сеть аптек;1 Мая, 69
56.690348;60.858756;ИДИЛЛИЯ;салон красоты и здоровья;Ленина, 40, 3 кабинет, 2 этаж
56.690357;60.087432;Почтовое отделение №270;;Димитрова, 18
56.690357;60.087432;Почта Банк;;Димитрова, 18
56.690362;60.871251;Прогресс;группа компаний;Заветы Ильича, 33а
56.690447;60.091893;Теремок;парк отдыха;Лесозаводская, 2Б
56.690483;60.511561;Авантаж;аптека;Колхозная, 14, 1 этаж
56.690618;60.837109;Сервисный центр;;1 Мая, 69, цокольный этаж
56.690618;60.836946;Аптека низких цен;;1 Мая, 69, 5 помещение
56.690618;60.836946;МЕДАР;медицинский центр;1 Мая, 69, 6 офис, 1 этаж
56.690618;60.836946;Хеликс;лабораторная служба;1 Мая, 69
56.690687;60.753179;Telepay;сеть платежных терминалов;Челябинский тракт 25 км, лит Е, 1 этаж
56.690687;60.753179;Dobson;кафе;Челябинский тракт 25 км, лит Е
56.690722;60.836931;ЕКБ КОМП;мастерская по ремонту цифровой техники;1 Мая, 69, 1 этаж
56.690761;60.836932;СЧАСТЬЕ;детская парикмахерская;1 Мая, 69, 1 этаж
56.69117;60.83644;Caramel;магазин детской одежды;1 Мая, 63
56.69117;60.83644;Умка;магазин развивающих игрушек;1 Мая, 63, 1 этаж
56.69117;60.83644;ГАЛАМАРТ;сеть магазинов постоянных распродаж;1 Мая, 63, 1 этаж
56.691299;60.877991;Шашлычная;;Речной переулок, 15а/1
56.691379;60.877879;Telepay;сеть платежных терминалов;Речной переулок, 15а/1
56.691387;60.87754;Столовая;;Речной переулок, 15а, 2 этаж
56.691421;60.877493;Telepay;сеть платежных терминалов;Речной переулок, 15а
56.69145;60.836258;ГлаМурка;зоомагазин;1 Мая, 63, 1 этаж
56.69145;60.836258;Telepay;сеть платежных терминалов;1 Мая, 63, 1 этаж, супермаркет Кировский
56.69145;60.836258;Банкомат, Газпромбанк, АО;;1 Мая, 63, 1 этаж, супермаркет Кировский
56.69145;60.836258;Банкомат, Сбербанк, ПАО;;1 Мая, 63, 1 этаж, супермаркет Кировский
56.69145;60.836258;КЛАССИКА;сеть аптек;1 Мая, 63, 1 этаж
56.691777;60.513277;Ситилаб;медицинский центр;Будённого, 9
56.692054;60.836064;ДелоБанк;Проект ПАО СКБ-банк;1 Мая, 59а
56.692054;60.836064;Платежный терминал, СКБ-банк, ПАО;;1 Мая, 59а, 1 этаж
56.692054;60.836064;СКБ-банк;;1 Мая, 59а
56.692082;60.089107;Vian;парикмахерская;Калинина, 62, 1 этаж
56.692102;60.836039;Банкомат, СКБ-банк, ПАО;;1 Мая, 59а
56.69234;60.088981;Радужный;магазин;Калинина, 60
56.692382;60.088966;Qiwi;сеть платежных терминалов;Калинина, 60, 1 этаж, магазин Уралочка
56.692443;60.835861;CloudPark;салон;ТЦ Индиго, 1 Мая, 59/1, 1 этаж
56.692443;60.835861;Amigo;сеть платежных терминалов;ТЦ Индиго, 1 Мая, 59/1, 1 этаж
56.692443;60.835861;Qiwi;сеть платежных терминалов;ТЦ Индиго, 1 Мая, 59/1, 1 этаж
56.692443;60.835861;Индиго;торговый центр;ТЦ Индиго, 1 Мая, 59/1
56.692443;60.835861;Магазин одежды;;ТЦ Индиго, 1 Мая, 59/1, 2 этаж
56.69255;60.826488;kriSStyle;студия красоты;Окружная 2-я, 1а
56.692584;60.085793;Поликлиника;Дегтярская городская больница;Куйбышева, 22
56.692598;60.83685;Соло;салон красоты;1 Мая, 59, 1 этаж
