latitude;longitude;Название;Описание;Адрес
56.84641;60.653625;Campus Coffee;кофейня;Первомайская, 98, 1 этаж
56.843035;60.610485;Joy Soul;место комфортной еды;Карла Либкнехта, 40, 1 этаж
56.904235;59.949544;Провинция;кофейня;Ильича проспект, 12а
56.83009;60.564287;Haze tea & coffee shop;кофейня;Крауля, 8
56.827796;60.616412;Венское;кафе;Гостиница Атриум Палас Отель, Куйбышева, 44, 1 этаж
56.833148;60.589977;Окна на Юг;пекарня;Малышева, 19, 1 этаж
56.841809;60.620209;Булочная-кондитерская;;Ленина проспект, 69/3
56.830192;60.592436;Кондитория;кондитерская-школа;Хохрякова, 48, 1 этаж
56.833755;60.591893;Engels кофе+вафли;кафе;Малышева, 21/4
56.835999;60.596131;Surf Coffee;кофейня;Театральный переулок, 5а, 1 этаж
56.83929;60.614765;Simple Coffee;кофейня;Ленина проспект, 46, 1 этаж
56.826795;60.616662;DUO;кофейня;Центр Международной Торговли, Куйбышева, 44д, 1 этаж
56.833815;60.601001;Люблю Кофе;кофейня;Малышева, 44, 1 этаж
56.823845;60.605354;Sky18;кофейня;8 Марта, 51, 18 этаж
56.840292;60.608751;Maria;кондитерская;Толмачёва, 21, 1 этаж
56.83155;60.613677;Muru;кофейня;Розы Люксембург, 27, 1 этаж
56.821857;60.604451;Бисквитный двор;сеть кондитерских пекарен;8 Марта, 70, 1 этаж
56.837037;60.582533;Мята;кафе-бар;БЦ Самолёт, Ленина проспект, 5л, 1 этаж
56.846005;60.650156;Brodsky Coffee;кофейня;Мира, 15, 1 этаж
56.831858;60.589696;BEZMUKI;кондитерская легких десертов;Сакко и Ванцетти, 64, 1 этаж
56.835353;60.599282;#Trava;кофейня;ТЦ Мытный Двор, 8 Марта, 8д, 1 этаж
56.827327;60.601926;Не торты, а торты;кофейня-кондитерская;Куйбышева, 57, 1 этаж
56.835828;60.621579;Поль Бейкери;сеть кафе-пекарен;Луначарского, 180, 1 этаж
56.838059;60.609629;Papa Carlo Coffee;кофейня;Толмачёва, 17, 1 этаж
56.833572;60.6019;Tesla Coffee;кофейня;Чернышевского, 1, 1 этаж
56.828327;60.599564;Starbucks;кофейня;ТРЦ Гринвич, 8 Марта, 46, 1 этаж
56.840074;60.611482;Tutto Caffe`;;Карла Либкнехта, 22/1
56.831364;60.588594;ЗАРАТОРТ;кафе-кондитерская;Центральный рынок переулок, 6, 1 этаж
56.835073;60.61267;Шоко;французская кофейня;Отель Центральный, Малышева, 74, 1 этаж
56.835297;60.590481;Верде;кофейня;Сакко и Ванцетти, 47
56.835552;60.599216;Французский Пекарь;сеть кофеен-пекарен;ТЦ Мытный Двор, 8 Марта, 8д, 1 этаж
56.841292;60.616965;Sokol coffee;кофейня;Мамина-Сибиряка, 70, 1 этаж
56.835972;60.609563;Хачапури для Пушкина;кафе-пекарня;Пушкина, 4, 1 этаж
56.84486;60.589853;Bow Jones cafe;;Бориса Ельцина, 3/2, 30 этаж
56.844614;60.615344;Getgoodcake;кофейня;Мамина-Сибиряка, 54, 1 этаж
56.826434;60.591675;Pulse;кофейня;Куйбышева, 21, 1 этаж
56.824668;60.604705;Wafbusters;вафельная;8 Марта, 49, 1 этаж
56.829273;60.611781;Большая Медведица;кофейня;Гоголя, 57, 1 этаж
56.834921;60.609116;Шоколадница;сеть кофеен;Малышева, 60, 1 этаж
56.826057;60.624746;Вереск;домашняя кофейня;Луначарского, 214, 1 этаж
56.831406;60.616207;FatCat;кофейня;Белинского, 41, 1 этаж
56.836613;60.606595;Espresso Season;кофейня;Пушкина, 9 дом, 1 этаж
56.833155;60.614394;Молоко Кофе Сахар;кофейня;Белинского, 30, 2 этаж
56.832507;60.58454;HOLY;мейд-кафе;Малышева, 7, 1 этаж
56.836036;60.596504;Street Market Food & Buffet;кафе-магазин;Театральный переулок, 5а, 1 этаж
56.84511;60.6181;Диалоги;кофейня;Луначарского, 80, 1 этаж
56.904333;60.599895;Сытый кролик;кофейня;Восстания, 50/3
56.816895;60.610378;Бенуа;кафе-чайная;Степана Разина, 39, 1 этаж
56.9724;60.576966;FIESTA;центр развлечений;Дворец спорта УГМК, Орджоникидзе, 15
