latitude;longitude;Название;Описание;Адрес
56.796457;60.613747;Воображуля;сеть детских парикмахерских;Ботаника Молл, Академика Шварца, 1, 2 этаж
56.851197;60.57517;Мужички;детская парикмахерская для мальчиков;Колмогорова, 73 к1, 1 этаж
56.863901;60.630815;Весёлая Расчёска;детская парикмахерская;ТРЦ Парк Хаус, Сулимова, 50, 3 этаж
56.849782;60.571711;Дана;салон-парикмахерская;Колмогорова, 56, 1 этаж
56.892667;60.617195;Минибелль;салон красоты;Бабушкина, 45
56.826707;60.588178;Salon SASHA hair and body;салон красоты;Шейнкмана, 90, 1 этаж
56.982897;60.556204;Облака;студия красоты;Уральских Рабочих, 49, 1 этаж
56.817952;60.5384;СТРИЖка-МАЛЫШка;парикмахерская для детей;Радуга Парк, Репина, 94, 1 этаж
56.848377;60.599372;МоЯ ПРЕЛЕСТЬ;салон красоты для детей;Красный переулок, 12, 1 этаж
56.903331;60.602691;Семейный парикмахер;салон-парикмахерская;Индустрии, 57/1
56.837561;60.574559;РАЙ;студия красоты;Мебельный центр ЭМА, Верх-Исетский бульвар, 13в, 3 этаж
56.826832;60.558895;MAUNI;студия красоты;ЖК Бригантина, Токарей, 68, 2 этаж
56.907704;60.819805;Конфетка;детская парикмахерская;ТЦ Ларец, Анучина, 1а, 2 этаж
56.690761;60.836932;СЧАСТЬЕ;детская парикмахерская;1 Мая, 69, 1 этаж
56.848377;60.599372;ZEFIRKA;студия красоты;Красный переулок, 12, 1 этаж
56.816339;60.585981;Воображуля;сеть детских парикмахерских;ТРЦ ФанФан, Ясная, 2, 3 этаж
56.853442;60.54989;Весёлая Расчёска;детская парикмахерская;ТРЦ Карнавал, Халтурина, 55, 2 этаж, справа от эскалатора
56.864099;60.545988;СТРИЖка-МАЛЫШка;парикмахерская для детей;БЦ Royal, Техническая, 18Б, 219 офис, 2 этаж
56.788744;60.648338;Воображуля;сеть детских парикмахерских;ТРК Глобус, Щербакова, 4, 3 этаж
56.835625;60.570345;Элис;салон красоты;Татищева, 6 к1, 2 этаж
56.816418;60.536097;Goodbrows;студия красоты;Радуга Парк, Репина, 94, 1 этаж, гипермаркет БубльГум
56.814006;60.586843;PINK;студия красоты;Фурманова, 126, 220 офис, 2 этаж
56.786182;60.523848;Cat Beauty;студия красоты;Анатолия Мехренцева, 46, 1 этаж
56.807795;60.553674;TIMECODE;бьюти-студия;Академика Бардина, 6/1, 1 этаж
56.831327;60.617852;Darling Beautybarn;салон красоты;Красноармейская, 66, 1 этаж, кафе ClearBarn
56.839003;60.581177;Центр косметологии и пластической хирургии им. С.В. Нудельмана;;Московская, 19
56.829385;60.593508;KUDRI_BROVI;бьюти-студия;Радищева, 31, 1 этаж
56.901807;60.621915;Стрижка-SHOP;парикмахерская;Фрезеровщиков, 27, 1 этаж
56.835583;60.596723;Saxap;салон красоты;Банковский переулок, 8, 1 этаж
56.82497;60.606589;8 марта;салон красоты;Степана Разина, 2, 1 этаж
56.862322;60.623972;Мята;салон красоты;Уральская, 3
56.822995;60.636339;Город Стрижек;парикмахерская;Мичурина, 217, 1 этаж
56.841646;60.617415;Grunge Garage;;Мамина-Сибиряка, 137, 1 этаж
56.83664;60.623309;JK BEAUTY STUDIO;студия красоты;ТЦ Crystals, Малышева, 71, 2 этаж
56.857385;60.642223;Стрижка Всем;парикмахерская;Советская, 47г, 1 этаж
56.795424;60.625184;Grush-ka;салон красоты;Академика Шварца, 14, 1 этаж
56.823845;60.605354;Студия татуажа Ирины Павловой;;8 Марта, 51, 19 этаж
56.803509;60.626944;Идеаль;центр эстетики;Белинского, 210а, 1 этаж
56.841758;60.616794;HOLY MOLY;бьюти-бар;Мамина-Сибиряка, 70, 1 этаж
56.884328;60.614833;Магнифика;клиника косметологической коррекции;Космонавтов проспект, 38, 1 этаж
56.804373;60.631077;Тиффани;салон красоты;Машинная, 46
56.888381;60.614199;Звездный стиль;салон-парикмахерская;Космонавтов проспект, 46, 1 этаж
56.834442;60.620562;Leona;салон маникюра и педикюра;Мамина-Сибиряка, 177, 1 этаж
