latitude;longitude;Название;Описание;Адрес
56.903518;60.61251;B-A-C-H;Екатеринбургский камерный оркестр;Космонавтов проспект, 47, 64 офис, 1 этаж
56.842692;60.655543;Рифей;студенческий оркестр народных инструментов;Софьи Ковалевской, 5, Т-216 аудитория
56.890924;60.612273;Уральский Государственный Русский Оркестр;;ДК Лаврова, Космонавтов проспект, 23, 335 офис, 3 этаж
56.850979;60.606526;B-A-C-H;Екатеринбургский камерный оркестр;Свердлова, 30
56.838241;60.609899;Екатеринбургский планетарий;;Кинотеатр Салют, Толмачёва, 12, 1 этаж
56.833339;60.612888;Планетарий;;Розы Люксембург, 9
56.838081;60.580122;Дворец молодежи;;Дворец молодёжи, Ленина проспект, 1
56.85495;60.660464;Урал;центр культуры;Центр культуры Урал, Студенческая, 3
56.838541;60.554418;Верх-Исетский;центр культуры и искусств;Центр культуры Верх-Исетский, Субботников площадь, 1
56.843914;60.620092;Окружной дом офицеров;;Окружной дом офицеров, Первомайская, 27
56.85572;60.602913;Дворец культуры железнодорожников;;ДКЖ, Челюскинцев, 102
56.890924;60.612273;Детский центр народного искусства;;ДК Лаврова, Космонавтов проспект, 23
56.891832;60.575964;Свердловский государственный областной дворец народного творчества;;Дворец народного творчества, Фестивальная, 12
56.892611;60.630258;Центр культуры Эльмаш им. Глазкова Ю.П.;;Центр культуры Эльмаш, Старых Большевиков, 22
56.970678;60.574294;Металлург;дворец культуры;ДК Металлург, Успенский проспект, 12
56.803622;60.554347;Дружба;культурно-досуговый центр;КДЦ Дружба, Академика Бардина, 21Б
56.688678;60.517576;Горный Щит;центр культуры;ЦК Горный Щит, Ленина, 12а
56.887105;60.58716;Орджоникидзевский;центр культуры;ЦК Орджоникидзевский, Культуры, 3
56.862984;60.576372;Стрела;культурно-зрелищный центр;КЗЦ Стрела, Лётчиков, 14
56.743088;60.611917;Елизаветинский;дом культуры;Бисертская, 14
56.753702;60.809923;Дом культуры авиаработников;;ДК Авиаработников, Утренний переулок, 2
56.760652;60.568423;Совхозный;дом культуры;ДК Совхозный, Комбинатская, 7
56.90644;59.943269;Дворец культуры;г. Первоуральск;ДК ОАО ПНТЗ, Ватутина, 45а
56.985026;60.455419;Дворец культуры;г. Среднеуральск;ДК Среднеуральск, Набережная, 8а
56.898424;60.751345;Современник;дворец культуры;Академика Королёва, 1Б
56.751722;60.692811;Экран;центр культуры;ЦК Экран, Грибоедова, 3
56.872184;60.518656;Сортировочный;дом культуры;ДК Сортировочный, Соликамская, 4
