latitude;longitude;Название;Описание;Адрес
56.83703;60.593147;Планета здоровья;аптеки;Ленина проспект, 24
56.793177;60.519839;Фармленд;сеть аптек;Луначарского, 136, 1 этаж
56.885551;60.636011;Аптека №7;;Старых Большевиков, 3а
56.896831;60.640703;Лекон-Фарм;сеть аптек;Баумана, 51
56.88856;60.612884;Аптека от склада;сеть аптек;ТЦ Стрелка, Космонавтов проспект, 23а, 1 этаж
56.834631;60.588364;Удобная аптека;;Попова, 13, 1 этаж
56.837073;60.584736;СЛАВИЯ;аптека;Ленина проспект, 5/1
56.805956;60.624549;Пилюлькин;аптека;Белинского, 188, 1 этаж
56.870455;60.551417;Вита;аптека;Бебеля, 162
56.8087;60.609197;Уралочка;аптека;8 Марта, 150, 1 этаж
56.847105;60.643415;Живика;сеть аптек;Гагарина, 6, 1 этаж
56.821398;60.591009;УГМК-Здоровье;сеть аптек;Шейнкмана, 113, 1 этаж
56.808866;60.609632;ВитаЭкспресс;сеть аптек;Щорса, 92, 1 этаж
56.803988;60.630836;ТриА;аптека;Переходный переулок, 9, 1 этаж
56.853994;60.561489;Фармаимпекс;аптека;БЦ Актив, Опалихинская, 27а, 1 этаж
56.897656;60.622019;Здоровье;сеть аптек;Старых Большевиков, 75, 1 этаж
56.817862;60.609432;Городская центральная аптека;;Большакова, 81, 1 этаж
56.854239;60.654292;САНДАЛ;аптека;Комсомольская, 8, 1 этаж
56.887952;60.614182;На Баумана;аптека;Баумана, 1, 1 этаж
56.815127;60.555667;Диолла;аптека;Волгоградская, 204
56.793936;60.575372;Премьер-Фарм;сеть аптек;Амундсена, 68, 1 этаж
56.808253;60.610699;Аптека66Плюс;;Автовокзал Южный, 8 Марта, 145, 1 этаж
56.903697;60.601922;Мелисса;аптека;Индустрии, 57/1, 1 этаж
56.889262;60.629287;Макси-фармА;аптека;Краснофлотцев, 15, 1 этаж
56.75296;60.696162;Витаминка;аптека;Грибоедова, 12, 1 этаж
56.854016;60.61571;Центральная гомеопатическая аптека;;Луначарского, 21, 1 этаж
56.798109;60.61476;Государственная аптека;;Юлиуса Фучика, 1
56.862206;60.636186;КЛАССИКА;сеть аптек;Сулимова, 42а, 1 этаж
56.85379;60.560735;Дар;аптека;Опалихинская, 27, 1 этаж
56.86595;60.641555;Знахарь;сеть аптек;Вилонова, 14а, 1 этаж
56.79795;60.764819;Аюрведа;аптека;Латвийская, 54, 1 этаж
56.818107;60.559854;Новая больница;сеть аптек;Шаумяна, 105/1, 1 этаж
56.795895;60.631139;Фарма-Вита;аптека;Академика Шварца, 20/1, 1 этаж
56.901963;60.614722;Здравница;сеть аптек;Космонавтов проспект, 72, 1 этаж
56.825715;60.584397;Здравствуй;сеть аптек;Гурзуфская, 16, 1 этаж
56.841003;60.62992;Аптека.Ру;;Ленина проспект, 56, 1 этаж
56.793221;60.517675;Дарина;аптека;Вильгельма де Геннина, 32
56.888057;60.61584;АНГАРА;аптека;Баумана, 3, 1 этаж
