latitude;longitude;Название;Описание;Адрес
56.83644;60.614063;BUNIN BAR;;Малышева, 51 лит А, 1 этаж
56.831897;60.613679;InTouch Cocktail Bar;коктейль-бар;Розы Люксембург, 23, 1 этаж
56.820781;60.545289;ПИВБУРГ;крафт-бар;Репина, 68, 1 этаж
56.829879;60.592564;ON BAR;;Радищева, 25, 1 этаж
56.836909;60.622679;UHC Contrast;;ТЦ Crystals, Малышева, 71, 1 этаж
56.82661;60.616804;Максимилианс;баварский клубный ресторан;Центр Международной Торговли, Куйбышева, 44д, цокольный этаж
56.839921;60.613672;Grott Bar;бар;Ленина проспект, 49, 1 этаж
56.833706;60.59762;ШашлыкоFF;гриль-бар;ДЦ Малышева 36, Малышева, 36, 2 этаж
56.839312;60.597944;ГАСТРОЛИ;гастрономический паб;8 Марта, 4, 1 этаж
56.841102;60.611256;Bukowski;ресторан-бар;Карла Либкнехта, 32
56.842952;60.610546;MOMO pan asian kitchen;гастробар;Карла Либкнехта, 38а, 1 этаж
56.838952;60.623677;The Optimist;бар-ресторан;БЦ Континент, Ленина проспект, 50Б, 1 этаж
56.826268;60.639751;Угли;ресторан;Сибирский тракт, 3, 1 этаж
56.826793;60.605305;Градусы;бар-клуб;8 Марта, 43а
56.836475;60.616046;CHiLi;бар-клуб;ТРЦ Антей, Малышева, 53, 6 этаж
56.837653;60.586516;Emerald;отель;Сакко и Ванцетти, 38
56.836749;60.592141;TENET;отель;Хохрякова, 1а
56.840701;60.611829;Friends restaurant & bar;ресторан;Карла Либкнехта, 22, 1 этаж
56.834057;60.621732;Огонёк;ресторан-бар;Деловой дом Филитцъ, Энгельса, 36, 1 этаж
56.837169;60.598675;Double Grill and Bar;бар;8 Марта, 8Б, 1 этаж
56.890814;60.597631;Жадина Говядина;стейк-бар;Кировградская, 28, 1 этаж
56.900263;60.595059;Royal Pub & Restaurant;английский паб-бильярдная;Победы, 51а
56.831939;60.614072;Pashkin Bar;бар;Розы Люксембург, 19, цокольный этаж
56.833976;60.591808;Нельсон Совин;пивной бар;Малышева, 21/4, 1 этаж
56.834958;60.599148;New Bar;арт-коктейль-бар;ТЦ Мытный Двор, 8 Марта, 8д, 3 этаж
56.83518;60.613709;ALIBI;бар;Отель Центральный, Малышева, 74, 1 этаж
56.839425;60.597906;Шалом Шанхай;бар;8 Марта, 4, цокольный этаж
56.827818;60.597617;Britannia;паб;Вайнера, 64а
56.840709;60.65206;8`500 Pan American;кафе-бар;Мира, 23, 1 этаж
56.837929;60.607746;The Rosy Jane;английский паб;Ленина проспект, 34, 1 этаж
56.833529;60.600397;Первый танцевальный;;Малышева, 44, 2, 3 этаж
56.844476;60.616656;Чак Норрис;бар;БЦ Манхэттен, Мамина-Сибиряка, 101, 1 этаж
56.826049;60.612115;Ben Hall;паб;БЦ Nebo, Народной Воли, 65, цокольный этаж
56.83246;60.589966;Brugge Brasserie Belge;бельгийский пивной бар;Сакко и Ванцетти, 61, 1 этаж
56.835991;60.614245;Влади;бар;БЦ Высоцкий, Малышева, 51, 37 этаж
56.836096;60.600903;proRock;клуб-бар;8 Марта, 13, цокольный этаж
56.842815;60.616055;James;ресторан-паб;Мамина-Сибиряка, 58, 1 этаж
56.837852;60.602352;BOULEVARD;бар;Воеводина, 1
56.827901;60.607944;Сплетни;бар;ТК Nautilus, Куйбышева, 61
56.836685;60.596058;Metis;гастробар;Универмаг Пассаж, Вайнера, 9, 5 этаж
56.837037;60.582533;Мята;кафе-бар;БЦ Самолёт, Ленина проспект, 5л, 1 этаж
56.836487;60.598903;АГОНЬ BBQ Ratskeller;ресторан;8 Марта, 8Б
56.836533;60.593637;Леонид Исаакович;бар;ТЦ Успенский, Вайнера, 10, 5 этаж
56.848659;60.498526;CUBA BEACH CLUB;пляжный комплекс;Большой Конный полуостров, 6
56.837272;60.601762;Подкова;бар-ресторан;Ленина проспект, 28 к2
56.832915;60.600061;Мизантроп;бар;8 Марта, 14, цокольный этаж
56.839746;60.61961;Перчини;итальянский ресторан;Ленина проспект, 48, 1 этаж
56.833822;60.595251;Мам я в хлам;пивной бар;БЦ Малышева 29, Малышева, 29, 1 этаж, около бургерной А ты где?
56.842914;60.61415;XXXX;бар;Тургенева, 18, 1, 2 этаж
56.842621;60.612857;Опыт;бар;Первомайская, 11в, 1 этаж, вход с торца
56.835045;60.595538;KILLFISH;дискаунт-бар;Вайнера, 9а, 2 этаж
56.836531;60.600596;Syndrome Bar;;8 Марта, 13
56.828281;60.593518;Magnitofon Bar & Dancing;бар;Хохрякова, 72
56.83464;60.616616;Old Fashioned Bar & Cocktails;бар;Красноармейская, 32, 1 этаж
56.81438;60.607635;Гриль-бар 57;;8 Марта, 104/1
56.833039;60.600496;50 Костей;гриль-бар;8 Марта, 23в
56.831638;60.600965;The Out Bar;бар;8 Марта, 31в
56.835555;60.598247;Коллектив;бар;8 Марта, 8г
56.835336;60.600802;BARABUM;;8 Марта, 17
56.831897;60.613679;Panda Bar;караоке-бар;Розы Люксембург, 23, 2-3 этаж
56.834551;60.605874;Gordon s;паб;Малышева, 56а, 1 этаж
56.839161;60.583856;Шейк;бар;Шейнкмана, 10, 1 этаж
56.841359;60.626019;Борода;крафт-бар;Бажова, 91
56.827054;60.632914;FAME CLUB & KARAOKE;ночной клуб;Бажова, 193
56.837269;60.616194;BiG Ural Band;музыкальный бар;Красноармейская, 1, 1 этаж
56.836475;60.616046;Антей;развлекательный центр;ТРЦ Антей, Малышева, 53, 6 этаж
56.835286;60.594399;Black Brilliant;ресторан;Попова, 1а, 1-3 этаж
56.835363;60.609808;Однерка;бар;Малышева, 39, цокольный этаж
56.827869;60.607648;Географ;бар;ТК Nautilus, Куйбышева, 61
56.828327;60.593924;Ля Мажор;караоке-бар;Хохрякова, 72, 1 этаж
56.8363;60.62044;Био Шмио;винный бар;Малышева, 61
56.804424;60.603037;Три Толстяка;бар-маркет;Циолковского, 29
56.84149;60.608408;The Yankee Bar;первый крафтовый на Урале;Толмачёва, 25, 1 этаж
56.864312;60.670408;F1;боулинг-клуб;БЦ Блюхера 58, Блюхера, 58, 2 этаж
56.84055;60.614545;Тирамису;бар-ресторан;Тургенева, 3, 1 этаж
56.83652;60.608641;FJORD;скандинавский паб;Пушкина, 7, цокольный этаж
56.829916;60.593476;Bierhof;ресторан;Радищева, 25, 1 этаж
56.806961;60.61201;Шервуд;кафе;ТРЦ Мегаполис, 8 Марта, 149, -1 этаж
56.843198;60.605162;Brut Bar;коктейль-бар;БЦ Сенат, Горького, 7а, 1 этаж
56.823513;60.605058;Gastropub Nota Bene!;ресторан;8 Марта, 51, 1 этаж
56.825238;60.62062;#НА РАБОТЕ;бар;Декабристов, 16/18Б, 1 этаж
56.788876;60.514713;#Мой бар;;Вильгельма де Геннина, 47
56.836064;60.609528;Fat Dog;бар;Пушкина, 4, 1 этаж
56.834577;60.611814;КАПЧО БАР;;Розы Люксембург, 8/10, 1 этаж
56.804011;59.93767;Кин-Дза-Дза;развлекательный центр;Клубная, 8 ст15
56.848586;60.611548;343 bar;ночной клуб;Шевченко, 9, 1 этаж
56.829219;60.588903;Кардамон;кафе;Радищева, 33, 1 этаж
56.82849;60.596818;Свой Бар;;Вайнера, 60
56.806836;60.613227;ЛепимВарим;кафе;ТРЦ Мегаполис, 8 Марта, 149, 4 этаж
56.833713;60.604321;U-BAR Music Loft;музыкальный бар;Добролюбова, 3в
56.828173;60.594164;Сытый пёс;бар;Хохрякова, 72
56.835297;60.595454;Колбаса;гриль-бар;Вайнера, 9а, цокольный этаж
56.839921;60.613672;Snasty Bar;;Ленина проспект, 49, 1 этаж
56.830872;60.600037;Телевизор;бар;Радищева, 4, цокольный этаж
56.832926;60.581878;Grizzly Family;ресторан;ТРЦ Алатырь, Малышева, 5, 4 этаж
56.798001;60.6168;Кастанеда;стейк-бар;Юлиуса Фучика, 3, 1 этаж
56.837474;60.61564;Черничные Ночи;караоке-бар;Красноармейская, 8
56.832413;60.599046;Джинн;;8 Марта, 18а
56.841268;60.651847;Япона Pub;сеть баров;Мира, 23, 1 этаж
56.830802;60.612996;Cannonball Brasserie;бар;Карла Маркса, 13, цокольный этаж
56.840817;60.583462;Улетели;рестобар;Шейнкмана, 9, 1 этаж
56.834852;60.602631;CRAFT;крафтовый мини-бар;Воеводина, 6, 1 этаж, 1 подъезд
