latitude;longitude;Название;Описание;Адрес
56.803257;60.647039;Банкетный зал Мечты;;Базовый переулок, 64
56.836893;60.586525;Monk;ресторан;Ленина проспект, 9а, 1 этаж
56.890727;60.61448;Ассоль;кафе;Космонавтов проспект, 50, 1 этаж
56.887067;60.682937;Тепло;уют-клуб;Норильская, 80
56.833538;60.611308;ТрансОтель;гостиница;Гоголя, 15е
56.824204;60.599584;Де Виль;ресторан;Народной Воли, 24, 1 этаж
56.866104;60.565312;Эрмитаж;банкетный зал;Пехотинцев, 25, 1, 2 этаж
56.851198;60.658847;Отель Тесса;;Академическая, 28а
56.789225;60.516154;Ребрышковая;сеть ресторанов;Вильгельма де Геннина, 45
56.835125;60.613286;Центральный by USTA Hotels;отель;Отель Центральный, Малышева, 74
56.833037;60.611507;Novotel Екатеринбург Центр;гостиница;Гостиница Novotel Екатеринбург Центр, Энгельса, 7
56.844917;60.615553;Белая лошадь;загородный клуб;Мамина-Сибиряка, 52
56.826268;60.639751;Угли;ресторан;Сибирский тракт, 3, 1 этаж
56.839375;60.609849;Мамуля;семейный ресторан;Ленина проспект, 41, 1-2 этаж
56.831505;60.589815;Grand Урюк;сеть ресторанов;Сакко и Ванцетти, 64, 1 этаж
56.750973;60.79903;ANGELO BY VIENNA HOUSE EKATERINBURG;отель;Отель Angelo Екатеринбург, Бахчиванджи, 55а
56.836749;60.592141;TENET;отель;Хохрякова, 1а
56.839069;60.612871;Гранд Авеню by USTA Hotels;отель;Ленина проспект, 40
56.82294;60.587879;Московская горка by USTA Hotels;отель;Московская, 131
56.841715;60.662123;Троекуров;ресторан;Малышева, 137
56.777456;60.656076;Уктус;гостиница;Гостиница Уктус, Прониной, 25
56.826049;60.612115;Ben Hall;паб;БЦ Nebo, Народной Воли, 65, цокольный этаж
56.850021;60.604634;Кинза и Базилик;ресторан армянской кухни;Свердлова, 11а, 1 этаж
56.835991;60.614245;Влади;бар;БЦ Высоцкий, Малышева, 51, 37 этаж
56.837037;60.582533;Мята;кафе-бар;БЦ Самолёт, Ленина проспект, 5л, 1 этаж
56.848659;60.498526;CUBA BEACH CLUB;пляжный комплекс;Большой Конный полуостров, 6
56.837272;60.601762;Подкова;бар-ресторан;Ленина проспект, 28 к2
56.865186;60.691778;Мыс Рундук;база отдыха;Отдыха, 25
56.841598;60.5763;SenAtor;бизнес-отель;Отель SenAtor, Хомякова, 14
56.830718;60.610732;Югославия Гриль;ресторан;БЦ Капитал, Гоголя, 36, 1 этаж
56.845229;60.615643;Вознесенский;отель;Мамина-Сибиряка, 52, 5-8 этаж
56.790863;60.647227;Атлантик by USTA Hotels;гостиница;Щербакова, 2
56.834582;60.617238;Премьер by USTA Hotels;гостиница;Гостиница Премьер Отель, Красноармейская, 23, 1, 2 этаж
56.895772;60.605192;Япона Мама;ресторан;ТЦ Победа, Ильича, 47, 1, 2 этаж
56.784016;60.608976;Просторы;ресторанный комплекс;Титова, 1
56.827054;60.632914;FAME CLUB & KARAOKE;ночной клуб;Бажова, 193
56.835286;60.594399;Black Brilliant;ресторан;Попова, 1а, 1-3 этаж
56.840632;60.657028;Старый Дамаск;кафе;Малышева, 140Б
56.843198;60.605162;Штолле;сеть пироговых;БЦ Сенат, Горького, 7а, 1 этаж
56.950818;60.786712;Лесная поляна;загородный клуб;44-й квартал, 2а
56.827335;60.609191;ХЛЕБ-da-СОЛЬ;кафе домашней кухни;Куйбышева, 38в
56.835125;60.613286;Савой;ресторан;Отель Центральный, Малышева, 74, 1 этаж
56.804011;59.93767;Кин-Дза-Дза;развлекательный центр;Клубная, 8 ст15
56.830358;60.599337;Хаш;ресторан;ТРЦ Гринвич, 8 Марта, 46, 3 этаж
56.830926;60.597204;Суботица;ресторан сербской кухни;Вайнера, 21, цокольный этаж
56.829219;60.588903;Кардамон;кафе;Радищева, 33, 1 этаж
56.81522;60.600289;Щавель;семейный ресторан;Фурманова, 66, 1 этаж
56.803506;60.55612;Кавказская пленница;ресторан;Академика Бардина, 21а
56.841737;60.642108;Хитровка;кафе-бар;Ленина проспект, 68, цокольный этаж
56.871386;60.530573;Дворец Свадеб;ресторанный комплекс;Сортировочная, 16
56.857859;60.174891;Хрустальная;база отдыха;Турбаза Хрустальная, 1
56.8187;60.641034;Кафе 51;банкетный зал на крыше;Восточная, 51, 9 этаж
56.927998;60.614665;Свадебное;кафе;Космонавтов проспект, 138
56.831603;60.60256;FREE PEOPLE;коворкинг-центр;Добролюбова, 16/2, 3 этаж
56.830103;60.363449;ЕВРАЗИЯ;загородный парк-отель;Московский тракт 18 км, ст 1
56.824349;60.619502;Чайный дом по-восточному;кафе;Декабристов, 20, 1 этаж
56.816895;60.610378;Бенуа;кафе-чайная;Степана Разина, 39, 1 этаж
56.829413;60.591825;Амар;кафе-бар;Радищева, 31, 1 этаж
56.835996;60.602251;Сливовица;ресторан сербской кухни;Воеводина, 4, 1 этаж
56.895772;60.605192;Япона Pub;сеть баров;ТЦ Победа, Ильича, 47, 1 этаж
56.823242;60.620707;CHUVSTVO;фотостудия;Красноармейская, 92а, 2 этаж
56.908388;60.620602;SHEFF;рестобар;Шефская, 110а, цокольный этаж
56.849519;60.598795;ATHAI;кафе;Мельковская, 12а, 1 этаж
56.906123;60.610311;Сдобная сказка;пекарня;Индустрии, 104
56.836818;60.655116;Грильяж;кафе;Коминтерна, 16, 1 этаж
56.829313;60.61435;Онегин;ресторан;Онегин Плаза, Розы Люксембург, 49, 15 этаж
56.839972;60.614753;Своя Компания;сеть мягких ресторанов;Ленина проспект, 49, 2 этаж
56.857175;60.593816;Армения;ресторанный комплекс;Стрелочников, 35, 1 этаж
56.846334;60.643556;Палуба;арт-пространство;Гагарина, 8, -1 этаж
56.899009;60.620251;Лукоморье;кафе домашней кухни;Старых Большевиков, 77, 1 этаж
56.829969;60.556756;ОХОТА ПО-РУССКИ;караоке-бар;Крауля, 53, цокольный этаж
56.839745;60.659432;Paradise;ресторанный комплекс;Комсомольская, 68
56.911628;60.596872;Рафаэль;кафе;Бакинских Комиссаров, 110
56.90652;60.578783;Террасаклаб;гостевой дом;Победы, 129
56.845776;60.604483;Космос;банкетный зал;Кинотеатр Космос, Дзержинского, 2, 1, 2 этаж
56.802337;60.602785;Maestro Home Cafe;;Авиационная, 10, 1 этаж
56.794899;60.569228;Гостион;банкет-холл;Решетникова проезд, 22а, 1 этаж
56.854844;60.606995;Наше кафе;;БЦ На Авейде 17, Азина, 24, 1 этаж
56.87131;60.546094;Estelle;банкетный зал;Пехотинцев, 2а/1, 1 этаж
56.839069;60.612871;Кейс;ресторан;Ленина проспект, 40, 2 этаж
56.822734;60.587594;Мезон;банкетная площадка;Московская, 131, 1 этаж
56.855205;60.65719;Душевная Кухня Кулибин;кафе;Кулибина, 2, 1 этаж
56.812749;60.54717;Премиум;эко-кафе;БЦ Премиум, Серафимы Дерябиной, 24, 1 этаж
56.826795;60.616662;DIAMOND RESTAURANT;;Центр Международной Торговли, Куйбышева, 44д, 11 этаж
56.823645;60.591292;Петербург;кафе;Народной Воли, 19а, 1 этаж
56.796779;60.627763;Страна Элефантия;детский центр;ТЦ Дирижабль, Академика Шварца, 17, 2 этаж
56.829704;60.58528;Кардиган;банкетный зал;БЦ Парус, Радищева, 28, 1 этаж
56.81335;60.593339;Эклер;сеть кафе;Фурманова, 109, 1, 2 этаж
56.834291;60.646275;Палех;ресторан;Гагарина, 30а, 2 этаж
56.880199;60.62847;Комфорт;кафе;Фронтовых Бригад, 15, 1 этаж
56.767066;60.709986;Бриз;кафе национальной кухни;Славянская, 64
56.754183;60.691794;Crout`On;ресторан;Профсоюзная, 43, 1 этаж
56.848276;60.711393;Кордон лесника;банкетный зал;Пески посёлок, 26
56.80485;60.559744;У Вани;кафе;Академика Бардина, 25/2
56.810621;60.592218;Московское;кафе;Московская, 217Б
56.885504;60.590378;Славянский базар;банкетный зал;Машиностроителей, 19, 1 этаж
56.770683;60.629978;Столовая №7;кондитерская-пекарня;Походная, 85
56.84047;60.655593;Ричмонд;ресторан;Малышева, 136
56.844191;60.626269;Шоколад;кафе-бар;Бажова, 75а, 1 этаж
56.833538;60.611308;Biennale;кафе;Гоголя, 15е, 2 этаж
56.813059;60.590703;СОПРАНО;банкетный ресторан;Московская, 195, 322 офис, 3 этаж, центр БизнесМАН
56.843254;60.641143;Матушка;кафе русской кухни;Ленина проспект, 97
56.835541;60.591044;Cash Flow;корпоративный ресторан;БЦ Палладиум, Хохрякова, 10, 2 этаж
56.715461;60.829625;Черника;арт-парк-отель;Пролетарская, 82а/3
56.785777;60.605405;KEKS;кафе;Астор, 8 Марта, 212, 2 этаж
56.846851;60.559109;Фазан;кафе;Колмогорова, 5/2, 1 этаж
56.862337;60.622209;Пельменная №1;;Уральская, 6
56.837087;60.623622;Лампа;фотостудия;ТЦ Crystals, Малышева, 71, 704 офис, 7 этаж
56.881152;60.615113;Столовая;УрГПУ;Космонавтов проспект, 28
56.818381;60.615563;Сказы Бажова;студенческое кафе;Большакова, 65, 1 этаж
56.846279;60.557094;Белая ворона;кафе;Колмогорова, 3, 1 этаж
56.715151;60.829186;ДЖЕМ;бизнес-галерея;Пролетарская, 82а/1
56.827685;60.624342;Место ПроТеста;столовая;Луначарского, 212, цокольный этаж
56.760687;60.584903;Eteria;банкет-холл;Умельцев, 9
56.817637;60.58624;Радио Пилот;кафе;Посадская, 79, 1 этаж
56.833037;60.611507;Olive Lounge Restaurant & Bar;;Гостиница Novotel Екатеринбург Центр, Энгельса, 7, 1 этаж
56.86573;60.671947;Акварель;кафе;БЦ Блюхера 88, Блюхера, 88, 1 этаж
56.841153;60.695531;Жарден;кафе;40-летия Комсомола, 1ж, 3 этаж
56.905188;60.568355;Victory Холл;развлекательный центр;АВС-Отель, Республиканская, 1а, 1 этаж
56.834582;60.617238;Премьер;кафе;Гостиница Премьер Отель, Красноармейская, 23, 1 этаж
56.914187;59.93535;Big Ben Hall;банкет-холл;Ленина, 37, 2 этаж
56.834097;60.644845;Версаль;банкетный зал;БЦ Aston, Вишнёвая, 35, цокольный этаж
56.823207;60.619144;Белый Парус;база отдыха;Белинского, 83, 1705 офис, 17 этаж
56.807335;60.000972;У горы Волчиха;загородный клуб;Прибрежная, 2
56.802309;60.612814;На Южной;столовая;8 Марта, 177, цокольный этаж
56.89312;60.584546;Фауст;кафе;40 лет Октября, 25, цокольный этаж
56.836337;60.68861;Русь;трактир;Рассветная, 3, 1 этаж
56.843914;60.620092;Гусарская баллада;закусочная;Окружной дом офицеров, Первомайская, 27, 2 этаж
56.829804;60.592495;R1 Hall;банкетный зал;Радищева, 25
56.71304;60.829468;Хуторок;кафе;Пролетарская, 82Б/3
56.835297;60.551332;Татищев;банкетный зал;Татищева, 77, 1 этаж
56.741819;60.608613;Вуаль;банкетный зал;Бисертская, 1а, 1 этаж
57.018322;60.544098;Мюнхен;банкетный зал;Огородная, 27а
56.85273;60.660293;Обедовъ;столовая;Студенческая, 16, 1 этаж
56.8038;60.723668;Пале Рояль;ресторан;Отель Пале Рояль, Сибирский тракт, 90, 1 этаж
56.911087;59.976822;Будапешт;клубный дом;Кольцевая, 12
56.881553;60.634195;Уют;столовая;Фронтовых Бригад, 18Б, 1 этаж
56.891394;60.576906;Яшма;банкетный зал;Дворец народного творчества, Фестивальная, 12, 1 этаж
56.755112;60.704406;На Грибоедовской;трактир;Грибоедова, 25, 1 этаж
56.864312;60.670408;Атриум;банкетный зал;БЦ Блюхера 58, Блюхера, 58, 3 этаж
56.904571;60.568261;AVS Отель;банкетный зал;АВС-Отель, Республиканская, 1а, 1, 2 этаж
56.840367;60.694756;Жарден;кафе;40-летия Комсомола, 1ж/4, 1 этаж
56.835532;60.60074;Максим Холл;банкетный зал;8 Марта, 15, 1 этаж
56.790945;60.646806;BREEZe BAR;;Щербакова, 2, 1 этаж, гостиница Атлантик by USTA Hotels
56.989204;60.599348;Белый Волк;банкетный зал;С.В. Ракитина, 7
56.790945;60.646806;Атлантик;банкетная площадка;Щербакова, 2, 2 этаж
56.837702;60.548094;GENT;бар;Гостиница Визави, Татищева, 86, 1 этаж
56.865322;60.551195;Жасмин;банкетный зал;Бебеля, 148, 1 этаж
56.75119;60.808564;Екатерина;кафе;Гостиница Лайнер Аэропорт Отель, Бахчиванджи площадь, 3, 1 этаж
56.841598;60.5763;SenAtor;ресторан;Отель SenAtor, Хомякова, 14, цокольный этаж
56.750973;60.79903;Sunlight;ресторан;Отель Angelo Екатеринбург, Бахчиванджи, 55а, 2 этаж
56.831215;60.592931;Event Hall by Piaf;банкетный зал;Хохрякова, 48, 1 этаж
56.79014;60.781175;Антоновка;столовая;Прибалтийская, 24, 2 этаж
56.834974;60.611682;Lombardia Event Hall;банкет-холл;ТЦ Покровский пассаж, Розы Люксембург, 4, 4 этаж
56.811982;60.575251;33 Коровы;банкетный зал;Шаумяна, 83, 1 этаж
56.796213;59.914717;Home Cook;семейное кафе;Цветников, 48, 1 этаж
56.847255;60.622861;Татьянин день;кофейня;Бажова, 68
56.805;60.721469;Банкетный зал на Артёма;;Артёма, 31
56.744809;60.694336;Шоколад;банкетный зал;Димитрова, 17е, цокольный этаж
56.761906;60.705276;Китай;кафе;Дагестанская, 10, 1 этаж
56.852614;60.647511;AV-catering;выездная кейтеринговая служба;Мира, 3
;;Вилла Виктория;;Бородулино (Сысертский городской округ)
56.864312;60.670408;ALTARA-catering;выездной ресторан;БЦ Блюхера 58, Блюхера, 58, 422 офис, 4 этаж
56.688569;60.884261;Домашняя кухня;;Пушкина, 4Б, 1 этаж
56.838541;60.554418;Сытый Екатеринбург;банкетный зал;Центр культуры Верх-Исетский, Субботников площадь, 1, 1 этаж
56.81699;60.663336;Luna;банкетный зал;РЦ Луна, Сибирский тракт, 34Б
56.844405;60.600584;Динамо;кафе;СК Динамо, Ерёмина, 12, 1 этаж
56.911543;60.58687;Пельмень;кафе-пельменная;Коммунистическая, 119, 1 этаж
56.845592;60.640747;Метрополия;банкетный зал;РЦ Метрополия, Первомайская, 75а, 2 этаж
56.773272;60.623255;Рандеву;кафе-бар;Самолётная, 55, 1 этаж
56.8217;60.587822;Люмьер;банкетный зал;Шейнкмана, 110а
56.82294;60.587879;Монреаль;банкетная площадка;Шейнкмана, 110а
56.74536;60.60471;Наш двор;кафе;Селькоровская, 114в
