latitude;longitude;Название;Описание;Адрес
56.771928;60.645745;Free Fly;аэродинамический комплекс;Зимняя, 27/3
56.816873;60.539917;Радуга Лэнд;семейный парк развлечений;Радуга Парк, Репина, 94, 1 этаж
56.81688;60.540249;Simple Fly;компания по организации полетов в аэротрубе;Радуга Парк, Репина, 94, 2 этаж
56.833081;60.582227;Аттракцион виртуальной реальности;;ТРЦ Алатырь, Малышева, 5, 4 этаж
56.815669;60.641895;5D-киноаттракцион;;Мичурина, 230 к13
56.829456;60.599076;Виртуальный Парк;аттракцион виртуальной реальности;ТРЦ Гринвич, 8 Марта, 46, 3 этаж
56.829497;60.672683;5D;киноаттракцион;КомсоМолл, Сибирский тракт дублёр, 2, 3 этаж
56.823512;60.505092;Formulashop;магазин квадрокоптеров и радиоуправляемых машин;МеГа, Металлургов, 87, 1 этаж
56.863242;60.630079;7D-киноаттракцион;;ТРЦ Парк Хаус, Сулимова, 50, 3 этаж
56.807351;60.611762;6D-киноаттракцион;;ТРЦ Мегаполис, 8 Марта, 149, 4 этаж
56.814675;60.644882;5D-киноаттракцион;;Мичурина, 230
56.815232;60.637343;5D-киноаттракцион;;Мичурина, 230 к15
56.836409;60.614074;Территория;квест-центр;Малышева, 51 лит А, 1 этаж
56.838297;60.623974;Парк чудес Галилео;научно-развлекательный центр;Ленина проспект, 50ж, 2 павильон, 1 этаж
56.791906;60.645314;Планета ИГРиК;детский развлекательный центр;Щербакова, 2к
56.832803;60.597317;NEWTON;научно-развлекательный парк;Вайнера, 13, цокольный этаж
56.802068;60.594763;Усадьба Квестов;компания по организации квестов;Авиационная, 2/1
56.822087;60.61631;Ловушка Джокера;компания по организации квестов;Розы Люксембург, 77а
56.839972;60.614753;Первое виртуальное место;клуб виртуальной реальности;Ленина проспект, 49, 2 этаж
56.830427;60.600247;ТАКТИКА МИЛИТАРИ;тематический центр развлечений;Радищева, 1, цокольный этаж
56.832813;60.618114;СтартТрек;развлекательный центр;Красноармейская, 37
56.83449;60.606636;ЛОКАП;компания по организации квестов;Малышева, 56, цокольный этаж
56.837308;60.632236;Авантюра;компания по организации квестов;Малышева, 120, цокольный этаж
56.81836;60.593491;Квестбург;центр по организации квестов;Шейнкмана, 123, 6 этаж
56.780049;60.64827;Форт Боярд;;Походная, 3
56.856289;60.598804;Портал-66;лазертаг-арена;ТЦ Свердловск, Героев России, 2, цокольный этаж
