latitude;longitude;Название;Описание;Адрес
56.823935;60.502656;IKEA Екатеринбург;ресторан;МеГа, Металлургов, 87, 1 этаж
56.830718;60.610732;Югославия Гриль;ресторан;БЦ Капитал, Гоголя, 36, 1 этаж
56.857009;60.604323;Масленица;столовая;Челюскинцев, 25, 1 этаж
56.830762;60.608781;Патриот;пельменная-кулинария;Горького, 63, 1 этаж
56.839856;60.599348;Бабушка Маруся;кафе-столовая;Химиков переулок, 3, 1 этаж
56.809662;60.617965;АмНям;кафе-столовая;Щорса, 60
56.884606;60.585667;Афина;столовая;Машиностроителей, 29, 1 этаж
56.81955;60.640735;Место Есть;кафе-столовая;Восточная, 45, цокольный этаж
56.755438;60.709666;Старый дворик;столовая;Грибоедова, 32, 1 этаж
56.831159;60.603092;Городские цветы;столовая;Добролюбова, 16, 1 этаж
56.860864;60.546544;Тянь- Шань;кафе;Халтурина, 69/1
56.849609;60.656746;Комбинат питания;УрГЮУ;УрГЮУ, Комсомольская, 23, 1 этаж
56.871672;60.550345;Благотворительная столовая;;Бебеля, 166, 1 этаж
56.795191;60.49392;СЫТОешка;;Евгения Савкова, 5, 1 этаж
56.813791;60.609649;Флагман;кафе;Фрунзе, 50, 1 этаж
56.8461;60.589423;Воротнички;кафе-столовая;БЦ Президент, Бориса Ельцина, 1а, 2 этаж
56.834025;60.62146;Сыто-Место;столовая;Деловой дом Филитцъ, Энгельса, 36, 1 этаж
56.839742;60.555409;У старого завода;столовая;Кирова, 28, 1 этаж
56.897135;60.775354;Еда!;столовая;Уральская, 150, 1 этаж
56.790409;60.479518;Уютное кафе;;Ручейная, 55
56.810621;60.592218;Московское;кафе;Московская, 217Б
56.771797;60.639897;FamilyHouse;кафе;Зимняя, 27/2
56.741819;60.608613;Сели Поели;столовая;Бисертская, 1а
56.770683;60.629978;Столовая №7;кондитерская-пекарня;Походная, 85
56.817058;60.631973;Pure;кафе;БЦ Clever Park, Ткачей, 23, 2 этаж
56.785777;60.605405;KEKS;кафе;Астор, 8 Марта, 212, 2 этаж
56.8436;60.613356;Столовая;Уральский ГАУ;УрГАУ, Тургенева, 23, 1 этаж
56.882586;60.570259;Столовая на Лукиных;;Лукиных, 1, 1 этаж
56.838644;60.620509;ПОВАРешка;столовая;Ленина проспект, 48, 1 этаж
56.821812;60.604614;Столовая;РАНХиГС;8 Марта, 70, 1 этаж
56.881152;60.615113;Столовая;УрГПУ;Космонавтов проспект, 28
56.841733;60.582396;Фартук;сеть столовых;ДЦ Микрон, Шейнкмана, 5, цокольный этаж
56.827425;60.613735;Православная трапезная;;Розы Люксембург, 57а
56.858033;60.599327;Рябина;столовая домашней кухни;Северный автовокзал, Вокзальная, 15а, 2 этаж
56.824465;60.602898;Агат;столовая;Народной Воли, 28, 2 этаж
56.82918;60.520644;Самоварчик;столовая;Металлургов, 70 лит Л4, Л4 павильон
56.824999;60.5519;Мама Люба;столовая;Репина, 42а, цокольный этаж
56.824892;60.575246;Ингрид;столовая;Гурзуфская, 27а, 2 этаж
56.818038;60.530697;Мастер вкуса;столовая;Отрадная, 1а, 2 этаж
56.835962;60.59576;Дружба;кафе-столовая;Театральный переулок, 7а, 1-2 этаж
56.827685;60.624342;Место ПроТеста;столовая;Луначарского, 212, цокольный этаж
56.76757;60.623452;Столовая;ИП Арбузова Л.А.;Новинская, 3Б, 1 этаж
56.866424;60.559293;Пышка;кафе-столовая;Софьи Перовской, 119, 1 этаж
56.869362;60.523147;Пень-Плетень;столовая;ТЦ Семь Ключей, Техническая, 63, 1 этаж
56.890637;60.615605;Цибус Арт;столовая;Космонавтов проспект, 50, 1 этаж
56.802309;60.612814;На Южной;столовая;8 Марта, 177, цокольный этаж
56.912058;60.597567;Трапеза;столовая;Бакинских Комиссаров, 112
56.847961;60.618378;Как у мамы;столовая;Луначарского, 81, 1 этаж
56.828392;60.617831;Комбинат питания;УрФУ;УрФУ, Куйбышева, 48, 1 этаж
56.764245;60.611317;Столовая на Аптекарской 35;;Аптекарская, 35
56.808999;60.767502;СОЮЗ;гостиничный комплекс;Сибирский тракт дублёр 13 км, 2
56.892169;60.635523;Столоffка;;Шефская, 13, 1 этаж
56.836337;60.68861;Русь;трактир;Рассветная, 3, 1 этаж
56.847832;60.63468;РТ Кафе;столовая;Асбестовский переулок, 10, 1 этаж
56.831505;60.615441;Сытый кот;кафе;Белинского, 34, 219 офис, 2 этаж
56.809852;60.710627;Скатерть-самобранка;кафе;Волчанский переулок, 2а, 1 этаж
56.79615;60.486571;Столовая;;Удельная, 5 лит Д
56.843199;60.626393;У Светланы;столовая;Первомайская, 56, 1 этаж
56.837308;60.59762;Столовая;;Администрация г. Екатеринбург, Ленина проспект, 24а, 1 этаж
56.822207;60.62127;Столовая русско-грузинской кухни;;Красноармейская, 92а, 2 этаж
56.767393;60.554997;ВИВА;кафе-столовая;Предельная, 57/3, 1 этаж
56.871402;60.610613;Столовая;ИП Темникова Г.Е.;Космонавтов проспект, 15, 1 этаж
56.960744;59.809451;Пельменная;;Ленина, 158
56.681957;60.578515;МЕГАФУД;Столовая;Станционная, 1а/1
56.82492;60.63551;ТефтЕЛИ;столовая;Мичурина, 201, 1 этаж
56.756349;60.597698;Гвин;столовая;Окружная, 1/3, 1 этаж
56.85273;60.660293;Обедовъ;столовая;Студенческая, 16, 1 этаж
56.873674;60.631834;Столовая 24;кафе;Турбинная, 40, 2 этаж
56.832513;60.564997;Медик;столовая;УГМУ, Ключевская, 17, 1 этаж
56.886457;60.535063;На Маневровой;столовая;Маневровая, 47/2
56.837824;60.60112;Время есть;столовая;Ленина проспект, 28, цокольный этаж
56.85295;59.790168;Сбавь скорость;придорожный комплекс;Верхняя, 1а
56.975829;60.565541;Благотворительная столовая;г. Верхняя Пышма;Успенский проспект, 38, 1 этаж
56.881553;60.634195;Уют;столовая;Фронтовых Бригад, 18Б, 1 этаж
56.996795;60.46884;Берлога;столовая;Ленина, 1а, 1 этаж
56.84384;60.641065;Электрон;столовая;Ленина проспект, 97а, 1 этаж
56.85227;60.613063;Кулинар;столовая;Мамина-Сибиряка, 16, 1 этаж
56.819168;60.667048;Кейтеринбург;столовая;Сибирский тракт, 49, 2 этаж
56.798322;60.732185;База питания;столовая;Низовой переулок, 1а, 1 этаж
56.856289;60.598804;Солянка;столовая;ТЦ Свердловск, Героев России, 2, 1 этаж
56.823946;60.569188;Славянское;кафе;Посадская, 23, 2 этаж
56.84135;60.636522;Домашняя столовая;;Ленина проспект, 60, 1 этаж
56.763337;60.589921;Пельмешка;столовая;Умельцев, 1, 2 этаж, Екатеринбургский энергетический техникум
56.843482;60.605551;Привет Буфет;столовая;Клары Цеткин, 4, цокольный этаж
56.908403;59.963663;Пассажирское АТП;столовая;Вайнера, 20, 1 этаж
56.827795;60.627963;Ланч;буфет-столовая;Народной Воли, 81, 1 этаж
56.831631;60.58721;Анастасия;столовая;Шейнкмана, 57, 1 этаж
56.751567;60.706264;Юлия;Столовая;Зои Космодемьянской, 46, 1 этаж
56.798079;60.561268;Столовая №1;;На громова, Громова, 145, 1 этаж
56.850379;60.59553;Столовая на Красном;;Красный переулок, 3, 1 этаж
56.802415;59.935492;Горница для друзей;столовая;Карла Либкнехта, 5, 1 этаж
56.84334;60.694015;Столовая;;Владимира Высоцкого, 43, 2 этаж
56.838712;60.596237;Компот;столовая;Володарского переулок, 3, 1 этаж
56.781721;60.610573;Елена;кафе;Титова, 11, 1 этаж
56.820033;60.55473;Супра-М;столовая;Начдива Васильева, 3, 2 этаж
56.819193;60.653957;Котлета;столовая;Базовый переулок, 10, 2 этаж
56.854948;60.65741;Столовая;;Кулибина, 2, 2 этаж
56.843071;60.643872;Время Вкуса;;Ленина проспект, 101/1
56.891335;60.52068;Столовая;ИП Дойников С.В.;Монтажников, 24 лит П
56.857898;60.601461;Столовая;;Невьянский переулок, 1
56.886713;60.647487;Сытый Екатеринбург;столовая;Фронтовых Бригад, 31, 1 этаж
56.816586;60.600699;Столовая на Большакова;;Большакова, 105, 1 этаж
56.818313;60.614552;Столовая;Екатеринбургский торгово-экономический техникум;Большакова, 65, цокольный этаж
56.840034;60.552195;Столовый двор;столовая;Кирова, 34, 210 офис, 2 этаж
56.890494;60.630653;Солянка;столовая;Старых Большевиков, 17
56.815395;60.623917;Столовая №1;;Цвиллинга, 6, 1 этаж
56.85913;60.667219;Масленица;буфет;Шофёров, 5а, 1 этаж
56.750252;60.757254;Alaru;столовая;Черняховского, 106, 2 этаж
56.778343;60.613688;Капитал Холл;кафе;Титова, 19 лит N, 1 этаж
56.88088;60.61875;АМБАР;столовая;Электриков, 13, 2 этаж
56.845554;60.638859;Столовая;Екатеринбургский колледж транспортного строительства;Первомайская, 73, 1 этаж
56.870648;60.60547;Наша Кухня;столовая;Артинская, 4, 1 этаж
56.782575;60.613074;Вкус;столовая;Монтёрская, 3, 1 этаж
56.763898;60.825851;Столовая;;Горнистов проезд, 15/2
56.76744;60.617276;Для Всех;столовая;Новинская, 2Б, 2 этаж
56.831855;60.665059;Зелёная горка;столовая;Комсомольская, 71а/23
56.803771;60.56607;САННИ;столовая;Академика Бардина, 28, 1 этаж
56.873663;60.667836;Аист;столовая;Промышленный проезд, 2Б, 1 этаж
56.885769;60.637152;Компот;столовая;Старых Большевиков, 2а к2, 1 этаж
56.891524;60.601136;Студенческая столовая;;Ильича, 26, 1 этаж
56.836902;60.59184;FEELING art & coffee;кафе;Ленина проспект, 22, 1 этаж
56.79014;60.781175;Антоновка;столовая;Прибалтийская, 24, 2 этаж
56.899524;60.768681;BeResta;сеть кафе-столовых;Берёзовский тракт, 4/1, 1 этаж
56.875052;60.610251;Авангард Плюс;столовая;Космонавтов проспект, 17а, 2 этаж
56.751824;60.807664;Аэрокафе;столовая;Бахчиванджи площадь, 4, 1 этаж
56.887175;60.651196;Буфет;ИП Румянцева С.Л.;Фронтовых Бригад, 24, 1 этаж
56.838454;60.664889;ЕДА–МАСТЕР;столовая;Студенческая, 51, 2 этаж
56.891716;60.642466;Сытный двор;столовая;Корепина, 50, 1 этаж
56.827116;60.600568;Всегда вкусно;столовая;Куйбышева, 55, 008 офис, цокольный этаж
56.849689;60.604066;Аквалит-А;столовая;Мельковская, 7, 1 этаж
56.857346;60.659098;Столовая;;Студенческая, 1 лит К, 1 этаж
56.89658;60.600074;Столовая;Областной техникум дизайна и сервиса;Стахановская, 43, 1 этаж
56.756989;60.756984;Вкусняшки;столовая;ТЦ Мега Детки, Черняховского, 86/1, 1 этаж
56.831834;60.613948;Столовая;;Розы Люксембург, 25, цокольный этаж
56.698409;60.809703;Сварог;столовая;Гарнизон, 3-6
56.761505;60.616765;Калинушка;столовая;Симская, 1, 1 этаж
56.821101;60.608195;Сытный дворик;кафе быстрого обслуживания;Степана Разина, 16, 1 этаж
56.840547;60.659103;Университетское;столовая;Малышева, 144, 1 этаж
56.85429;60.652008;У Ольги;столовая;Дом бытовых услуг, Комсомольская, 6е, 2 этаж
56.884704;60.68048;Ланчбург;столовая;Норильская, 77, 1 этаж
56.894544;60.51803;Столовая;ИП Сидорова Е.А.;Монтажников, 26а, 1 этаж
