latitude,longitude,Название,Описание,Адрес
56.873426,60.397222,Дом купца Иванова В.Н.,Дом купца Иванова В.Н.,ул. 8 Марта д. 26
56.623702,60.463733,Здание Педагогического института (Дом купца  И.Г. Пшеничникова),Здание Педагогического института (Дом купца  И.Г. Пшеничникова),набережная Рабочей молодежи д. 2
56.835052,60.54318,Братская могила коммунаров,Братская могила коммунаров,пл. Коммунаров
56.84006,60.551301,Особняк,Особняк,ул. Кирова д. 36
56.840478,60.551984,Христорождественская единоверческая церковь,Христорождественская единоверческая церковь,ул. Школьников д. 1
56.84005,60.552675,Господский дом в саду,Господский дом в саду,ул. Кирова д. 32
56.839109,60.554634,ДК ВИЗа,ДК ВИЗа,пл. Субботников
56.840074,60.555299,Комплекс Верх-Исетского металлургического завода,Комплекс Верх-Исетского металлургического завода,ул. Кирова д. 28 
56.839134,60.556269,Церковь Успения Богоматери ,Церковь Успения Богоматери ,ул. Кирова д. 65
56.837731,60.556296,Дом причта Успенской церкви ,Дом причта Успенской церкви ,ул. Нагорная д. 50 
56.839543,60.557311,Дом М.М. Сарафанова,Дом М.М. Сарафанова,ул. Кирова д. 63
56.83878,60.557329,Жилой дом ,Жилой дом ,ул. Синяева д. 58
56.852406,60.562485,Дом с мезонином в стиле модерн,Дом с мезонином в стиле модерн,ул. Венгерских коммунаров д. 56-а
56.852406,60.562485,Деревянный жилой дом с иконостасной резьбой наличников,Деревянный жилой дом с иконостасной резьбой наличников,ул. Д. Ибаррури д. 10-а
56.852406,60.562485,Деревянный дом с тремя башенками,Деревянный дом с тремя башенками,ул. Кирова д. 49
56.852406,60.562485,Жилой дом Уралплана,Жилой дом Уралплана,ул. Пушкина д. 14
56.852406,60.562485,Жилой дом в стиле классицизма,Жилой дом в стиле классицизма,ул. Розы Люксембург д. 53
56.852406,60.562485,Дом А.Н. Судакова,Дом А.Н. Судакова,ул. Тургенева д. 24
56.839986,60.565036,Здание общественное,Здание общественное,ул. Кирова д. 2
56.845884,60.565342,Усадьба Антипина П.А.,Усадьба Антипина П.А.,ул. Октябрьской революции д. 52
